Raul;Alejandro;AUT;Msen;02:48:59
Yannick;Ampoulie;FRA;Msen;02:50:34
Miguel;angel;ESP;M35;02:54:24
Gokmen;Aras;TUR;M35;02:52:22
Tsipis;Aris;GRE;Msen;02:35:14
Anton;Ashmarin;RUS;Msen;02:51:33
Alviero;Atzeni;ITA;M45;02:43:23
Hovard;Austevoll;NOR;Msen;02:42:26
Gerald;Avignon;FRA;M35;02:53:04
Workitu;Ayanu;ETH;Fsen;02:29:46
Mireille;Baart;NED;Fsen;02:49:26
Oleg;Babchin;RUS;Msen;02:32:52
Fellipe;Barbosa;BRA;Msen;02:56:55
Michele;Barcella;ITA;M45;02:55:38
Maxime;BEAUMENIL;FRA;Msen;02:56:56
Jason;Beerman;NED;M35;02:48:30
Feyisa;Bekele;ETH;Msen;02:11:29
Colin;Bekers;NED;Msen;02:25:35
James;Bennett;GBR;Msen;02:46:01
Vasseur;Benoit;FRA;M35;02:39:43
Alexander;Betts;GBR;M35;02:54:09
Alessio;Biagioni;ITA;M35;02:49:58
Are;Birkeli;NOR;M45;02:45:55
Marc;Boes;NED;M35;02:52:52
Nicolas;Boissiere;FRA;M35;02:53:43
Vladimir;Bondarenko;RUS;Msen;02:21:36
Simon;Booth;GBR;M35;02:51:03
Nathanael;Bordes;FRA;M35;02:31:21
Mohamed;Boughrad;BEL;Msen;02:44:04
Peter;Bournemouth;GBR;Msen;02:25:34
Mark;Bradford;GBR;Msen;02:54:36
Ischa;Brentjens;NED;Msen;02:53:03
Justin;Bromley;AUS;M45;02:46:44
Nih;Bronderslev;DEN;Msen;02:37:49
Hans;Brons;NED;M45;02:35:49
Paul;Brundel;NED;M35;02:56:03
Freddy;Brunelle;FRA;M40;02:48:39
Georg;Brunner;ITA;M35;02:34:45
Marian;Bunte;GER;Msen;02:48:54
Michel;Butter;NED;Msen;02:11:08
Bart;Buyst;BEL;M40;02:55:28
David;Cahard;FRA;M40;02:53:36
Jerome;Campan;FRA;M40;02:42:43
Kevin;Campbell;GBR;Msen;02:38:35
Eugenio;Carbini;ITA;M35;02:54:50
David;carnero;ESP;M40;02:55:53
Jonathan;Carpenter;GBR;M35;02:37:56
Thomas;Castillon;FRA;Msen;02:51:09
Lars;Cazander;NED;Msen;02:44:15
Felix;Chakak;FRA;M50;02:51:59
Wilson;Chebet;KEN;Msen;02:08:45
Ezekiel;Chebii;KEN;Msen;02:07:18
Joyce;Chepkirui;KEN;Fsen;02:24:11
Christophe;Chevo;FRA;M40;02:56:30
Flomena;Cheyech;KEN;Fsen;02:24:38
Khalid;Choukoud;NED;Msen;02:11:34
Szymon;Chyba;POL;M35;02:53:37
Agnius;Ciapas;LTU;Msen;02:56:41
Milly;Clark;AUS;Fsen;02:29:07
Gregg;Clark;GBR;Msen;02:50:43
Cristian;Cocco;ITA;M40;02:47:30
Chris;Compton;GBR;M40;02:50:05
Cristian;Cocco;ITA;M40;02:47:30
Che;Compton;GBR;M40;02:50:05
Steven;Daniels;GBR;Msen;02:49:00
Prashan;DaSilva;GBR;Msen;02:44:57
Mitch;David;BEL;Msen;02:51:07
Christian;De;NED;M35;02:33:06
Bruno;DebordGuiard;FRA;M45;02:52:55
Valerio;deCesare;SMR;Msen;02:52:18
Chala;Dechase;ETH;Msen;02:08:25
Dennis;deHaan;NED;Msen;02:54:26
Inge;deJong;NED;Fsen;02:37:01
Rene;deLange;NED;M35;02:35:22
Benjamin;Delecroix;FRA;Msen;02:36:35
Koen;Demyttenaere;BEL;Msen;02:42:42
Izaak;dePlaatz;NED;M55;02:51:47
Johan;Deramoudt;BEL;M40;02:51:55
Martien;deRooy;NED;M45;02:52:40
Wouter;deRose;NED;Msen;02:42:52
Antoine;DESMONS;FRA;Msen;02:37:40
Antoine;Desplat;FRA;Msen;02:56:38
Willy;DUCHEMIN;FRA;M40;02:54:18
Tom;Dukes;GBR;M35;02:49:10
Frederic;Durand;FRA;M45;02:56:03
Jesper;Eberhard;DEN;Msen;02:56:07
Rik;Eertman;NED;M40;02:54:27
Raphael;Eith;GER;Msen;02:40:24
Kristjan;Enno;EST;M40;02:55:39
Christiaan;Ernst;NED;Msen;02:39:59
Neil;Everett;GBR;M35;02:56:03
Joao;Faria;POR;M40;02:53:09
Niall;Farquharson;GBR;M35;02:37:30
AdriÌÁn;Fernandez;ESP;Msen;02:47:34
Johan;Fernandez;FRA;M35;02:56:49
Tom;Ferrington;GBR;M35;02:41:57
Thijs;Feuth;NED;Msen;02:26:51
Sabine;Fischer;SUI;F40;02:49:27
Laurent;FLECK;FRA;Msen;02:44:03
Jose;Francisco;ESP;M40;02:48:46
Daniel;Frantzich;SWE;M35;02:47:22
